X,Y
139,319
135,316
135,316
134,317
135,312
136,313
136,317
137,317
137,323
116,334
85,338
67,335
48,340
31,345
20,345
5,350
1,334
16,332
36,328
58,325
99,313
115,313
127,312
127,312
131,312
125,311
114,311
100,311
85,312
71,313
56,314
37,310
49,308
64,306
96,298
96,298
114,295
129,292
141,288
148,286
145,281
136,283
125,285
112,287
100,289
87,294
77,294
70,295
66,296
66,296
66,296
71,295
93,290
107,286
122,281
136,278
148,275
158,271
162,268
162,270
158,271
149,275
138,277
129,281
116,283
105,287
97,288
90,292
91,286
98,286
107,283
118,279
132,272
143,270
156,266
165,263
172,263
175,263
174,264
170,266
154,276
145,279
129,285
122,287
119,289
119,289
122,284
129,283
138,281
147,279
159,278
170,276
180,276
186,276
191,282
187,284
179,293
171,294
162,295
153,297
146,296
141,298
137,298
136,295
139,293
144,292
151,291
157,291
165,289
171,292
176,291
179,296
177,297
174,300
169,303
162,308
155,306
143,308
143,308
138,308
136,309
134,305
135,305
136,306
140,302
145,303
149,301
154,302
158,303
164,308
161,312
158,313
158,313
154,315
149,315
140,315
136,313
135,313
134,311
135,310
142,310
144,311
146,313
147,314
147,314
148,315
148,317
147,319
144,319
140,318
137,320
133,315
132,318
130,317
127,312
128,313
129,312
129,312
132,311
134,315
135,313
136,321
135,317
131,318
126,318
123,316
121,314
118,312
117,309
117,307
117,304
119,301
119,300
121,304
122,305
123,311
123,309
123,312
122,311
121,311
120,311
119,309
116,303
115,302
115,301
116,301
117,300
118,303
118,302
120,305
119,308
120,311
121,312
121,312
121,314
120,314
120,313
120,314
119,312
118,313
117,313
118,314
116,314
117,315
115,313
114,319
113,320
112,322
111,323
111,325
110,327
108,328
104,330
101,331
99,330
96,331
94,330
90,331
83,330
76,328
71,329
68,330
68,330
64,329
59,326
55,330
48,331
43,327
38,328
32,328
26,327
12,326
4,320
475,295
475,295
4,637
468,238
436,244
446,230
444,228
188,3
226,28
315,5
313,5
312,4
311,3
309,2
304,67
317,474
327,488
326,495
313,492
291,480
261,462
234,444
211,426
181,402
165,385
154,371
153,361
159,359
171,364
188,375
210,380
276,394
315,399
315,399
348,393
369,386
369,385
351,387
324,392
293,398
266,401
240,404
216,408
175,423
166,431
167,437
179,440
201,440
228,439
228,439
257,437
283,436
307,433
340,423
294,417
269,420
232,425
216,429
203,438
203,438
204,442
211,446
245,447
267,445
286,440
302,440
312,438
318,431
313,430
302,428
288,430
271,431
257,434
244,437
235,438
230,442
229,445
231,445
236,449
247,451
260,453
286,448
296,446
303,442
305,440
304,439
298,438
290,436
281,436
270,438
254,441
248,445
245,447
245,448
248,449
254,452
261,453
269,454
278,451
286,448
291,448
295,446
296,446
289,439
285,441
278,442
272,443
266,445
261,447
258,450
258,453
258,452
261,452
265,454
272,454
277,454
282,453
287,452
291,452
292,453
291,452
281,452
263,457
231,461
198,462
168,462
141,463
122,465
109,468
99,470
94,462
98,465
112,463
139,462
180,458
229,456
279,454
318,456
318,465
291,464
212,462
166,462
131,461
79,459
79,459
48,459
94,451
129,453
161,457
182,458
188,460
181,461
167,461
167,461
143,459
118,457
94,459
70,457
476,414
57,448
73,450
92,453
113,453
129,455
129,455
139,457
135,459
125,457
110,457
96,455
81,457
67,455
60,448
70,448
82,449
92,454
103,453
112,455
114,457
109,458
101,457
93,459
82,457
69,449
84,454
92,453
96,454
99,453
82,458
76,457
71,456
65,440
3,353
2,351
1,487
179,2
160,16
201,19
206,22
213,25
219,25
224,24
226,23
222,25
219,26
213,32
207,35
201,36
196,36
195,35
196,25
202,16
216,8
235,10
235,2
190,637
190,637
190,637
191,637
191,637
190,637
191,637
191,637
191,637
191,637
191,637
191,637
191,637
191,637
191,636
191,637
190,636
190,636
191,637
191,636
191,637
191,636
191,636
190,637
191,636
191,636
191,637
191,637
191,636
191,637
191,637
191,637
191,637
191,637
191,637
191,637
191,637
191,636
191,636
191,636
191,637
191,636
191,636
191,637
191,637
191,637
191,636
191,636
191,636
195,388
191,637
246,579
191,637
191,637
191,637
191,637
191,636
191,636
191,637
246,579
191,637
191,637
191,637
191,637
191,636
191,636
191,637
190,637
191,637
191,636
373,264
373,288
431,348
447,355
456,357
459,352
463,346
471,339
473,316
473,316
472,304
465,295
456,289
445,287
435,291
425,294
420,299
415,308
412,317
412,326
418,335
424,340
431,340
437,339
437,339
443,334
446,329
448,321
448,314
444,309
440,304
436,305
427,302
423,306
